X,p_break_binding,p_break_hiding
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,1.0,2.5091040356528222e-14
12,1.0,2.2463109136697163e-07
13,1.0,0.0006703728582567311
14,1.0,0.03595604480789686
15,1.0,0.23403326421660373
16,1.0,0.46508683255475936
17,1.0,0.4773029300482902
18,1.0,0.3445406608613416
19,1.0,0.20739239998404868
20,1.0,0.11383236966623671
21,1.0,0.059640356879731
22,1.0,0.03052640861194442
23,1.0,0.015443003419362828
24,1.0,0.007766862649862469
25,1.0,0.0038948233325833493
26,1.0,0.0019502661635096886
27,0.9999999999999873,0.0009758475194599842
28,0.9999998874648286,0.00048810247092453095
29,0.9996645373745969,0.00024409592598763818
30,0.9816843611453814,0.00012205913721638947
31,0.8646647168264077,6.103236236287646e-05
32,0.6321205588713845,3.0516879644837233e-05
33,0.3934693403050189,1.5258614441515642e-05
34,0.2211992169342617,7.62935087583738e-06
35,0.11750309741700982,3.8146863517024565e-06
36,0.060586937186951406,1.9073459043301294e-06
37,0.030766765523766115,9.536736342854405e-07
38,0.015503562994619524,4.768369876728955e-07
39,0.0077820617397635905,2.3841853646900174e-07
40,0.0038986305298842616,1.1920927889264064e-07
41,0.0019512188925249196,5.960464211085542e-08
42,0.0009760858180244414,2.9802321721561504e-08
43,0.0004881620601107084,1.4901161082825354e-08
44,0.00024411082510278348,7.4505805691682525e-09
45,0.00012206286222260498,3.72529029152302e-09
46,6.1033293642709374e-05,1.8626451474962336e-09
47,3.051711246848665e-05,9.313225741817976e-10
48,1.5258672647733285e-05,4.6566128719931904e-10
